y_true,y_pred_proba_cv
0,0.0
0,0.032692307692307694
0,0.08672186986140473
0,0.18042160737812912
1,0.6253295406237646
0,0.0
0,0.0
0,0.07606849602010893
0,0.08941520467836256
0,0.05401013714967203
0,0.4004737826713332
0,0.0
0,0.0
0,0.08600946822424299
0,0.06552631578947368
0,0.04932193708847013
0,0.0
0,0.04403180138156136
0,0.017391304347826087
0,0.058726646436393484
0,0.07657142857142857
0,0.02216556756350142
1,0.16324173310581266
0,0.3050370742089581
0,0.0035698722502373686
0,0.017391304347826087
0,0.0
0,0.0
0,0.03666659537199573
0,0.017391304347826087
0,0.0
0,0.03739130434782609
0,0.05091326836259823
0,0.06026177333103329
0,0.02
0,0.052810160427807486
0,0.03734347048300536
0,0.021052631578947368
1,0.2589635854341737
0,0.29221445221445225
0,0.0794487336409001
0,0.004545454545454545
0,0.03734347048300536
1,0.19308044898716897
0,0.05401013714967203
1,0.4737168895651136
1,0.43111833321437415
0,0.24086179942353997
1,0.27999999999999997
0,0.14005580544328905
0,0.004545454545454545
0,0.05926177333103329
0,0.3747426257952574
0,0.0
0,0.0
0,0.0
0,0.04676177333103329
0,0.20311827956989248
0,0.0007023178022442859
0,0.1324882507266478
0,0.16303030303030303
0,0.0
0,0.4137254901960784
0,0.0
0,0.033253735049744965
0,0.03739130434782609
0,0.0975035843715592
0,0.0
0,0.0
1,0.13425836390943496
0,0.10803030303030303
0,0.15222084367245658
0,0.7420072109131775
0,0.017391304347826087
0,0.22398308902625746
0,0.0064516129032258064
0,0.04088731046078946
0,0.03704576714225911
0,0.017391304347826087
0,0.01761012757684945
0,0.09380141079466442
0,0.017391304347826087
0,0.05926177333103329
0,0.02
0,0.15345191040843215
0,0.12298554955480952
1,0.14073744816071976
0,0.08672186986140473
0,0.1264740282077743
0,0.34666029583538877
0,0.6256456275782704
1,0.5326373626373626
0,0.05331520093708793
0,0.4522144522144521
0,0.0996969696969697
1,0.22928104575163397
0,0.09433772678933969
0,0.35
0,0.0448618452934333
0,0.02
0,0.007692307692307693
0,0.12133222843867308
0,0.2966271710381968
0,0.09533772678933969
0,0.19405996194290043
0,0.24029861644464065
0,0.021052631578947368
0,0.017391304347826087
0,0.0
0,0.0
0,0.04105263157894737
0,0.1956302521008403
0,0.06539130434782608
1,0.055724637681159414
0,0.0
0,0.12152304147465438
0,0.34394072634983963
0,0.06739130434782609
0,0.02
0,0.38338390385704624
0,0.03739130434782609
1,0.2835293147465169
0,0.03333333333333334
0,0.032
0,0.0
0,0.1264740282077743
0,0.07219195533149021
1,0.17705882352941177
0,0.23132707321803442
1,0.29221445221445225
1,0.22234529992904872
0,0.03734347048300536
0,0.06082873263030034
0,0.05646875532818196
0,0.0
0,0.0
0,0.04719195533149022
0,0.0
0,0.1826923076923077
0,0.0
0,0.09433772678933969
0,0.09875494071146244
0,0.0
0,0.07875494071146245
0,0.0
0,0.07753100410026406
0,0.032692307692307694
0,0.04031016042780749
1,0.24080787788152708
0,0.09690382817695269
0,0.025
0,0.1956302521008403
0,0.0005261447824485429
0,0.3587858183650624
0,0.019570439195910595
0,0.05401013714967203
0,0.035261773331033294
0,0.021052631578947368
0,0.0
0,0.08788611388611388
0,0.08941520467836256
1,0.02
0,0.14928104575163398
0,0.06732100596372224
0,0.017391304347826087
1,0.04456466319736271
0,0.10147197043834177
0,0.23461793264848874
0,0.021052631578947368
0,0.0
0,0.02
0,0.2662505623031939
0,0.17392609403850262
0,0.010997067448680353
0,0.11708827404479578
0,0.17205836528865004
0,0.16722084367245657
0,0.004545454545454545
0,0.0
1,0.3467686252015061
1,0.3015876971282126
0,0.0
0,0.05105263157894737
0,0.017391304347826087
0,0.060757201483604986
0,0.11222222222222222
0,0.017391304347826087
1,0.07521438995521804
0,0.37617806168194645
0,0.10857142857142857
0,0.054857342494243434
0,0.19739841642218742
0,0.0632748538011696
0,0.2607692307692308
0,0.18070602981940112
1,0.38215199721407406
0,0.052810160427807486
0,0.31410256410256415
0,0.028545454545454547
0,0.05401013714967203
0,0.3046713272858762
0,0.0
0,0.02
0,0.45173643670131663
0,0.0
0,0.17574811939116808
0,0.03647343258103699
0,0.0
0,0.5
0,0.0
0,0.004259119020327578
0,0.08941520467836256
0,0.03169579605492758
0,0.17896358543417365
0,0.017391304347826087
0,0.05926177333103329
0,0.07577905274218026
0,0.017391304347826087
1,0.2963636363636364
0,0.15122084367245658
0,0.106420075686844
0,0.03734347048300536
0,0.010526315789473684
0,0.1577784905559632
0,0.11602564102564103
0,0.05401013714967203
0,0.3797706856191202
0,0.0
0,0.1408119658119658
0,0.08477719915773836
0,0.05401013714967203
0,0.004545454545454545
0,0.03739130434782609
0,0.0
0,0.0
0,0.0
0,0.0
0,0.05926177333103329
0,0.049391304347826084
0,0.012343470483005367
0,0.03734347048300536
0,0.017045454545454548
0,0.3137254901960784
0,0.03734347048300536
0,0.010526315789473684
0,0.08593533021045727
0,0.022504231904445914
0,0.09804456891334049
0,0.13420745920745922
0,0.004545454545454545
0,0.05926177333103329
0,0.08470971400655282
0,0.07657142857142857
0,0.00516335476808808
0,0.0
0,0.2642281873236648
0,0.15133164421427786
0,0.029010137149672034
0,0.017391304347826087
0,0.0
1,0.11657142857142858
0,0.0
0,0.04105263157894737
1,0.65
0,0.0
0,0.0
0,0.02072072284160839
1,0.06539130434782608
0,0.06854005167958656
0,0.010526315789473684
0,0.26066666666666666
0,0.0
0,0.12047768564293156
1,0.06136363636363636
0,0.03333333333333334
0,0.047497067448680354
0,0.021052631578947368
0,0.31355467144500326
0,0.029651162790697672
0,0.06754413221227283
0,0.07706849602010893
0,0.1826923076923077
0,0.02420200671719484
0,0.012343470483005367
0,0.02
0,0.0877485380116959
0,0.0
1,0.16558957477068362
1,0.3747426257952574
0,0.011764705882352941
0,0.0
0,0.017391304347826087
0,0.17702040400629857
0,0.0
0,0.0
0,0.02
0,0.0
0,0.0
0,0.012343470483005367
0,0.0
0,0.02857142857142857
0,0.5217638368408787
1,0.13520671834625322
0,0.03333333333333334
0,0.0
0,0.05401013714967203
0,0.06552631578947368
0,0.0
0,0.02
0,0.05401013714967203
0,0.017391304347826087
1,0.4719429424874315
0,0.03734347048300536
0,0.04105263157894737
0,0.1720882740447958
1,0.02
0,0.19722222222222224
0,0.0
0,0.13312999542418674
0,0.0
0,0.47000000000000003
0,0.07657142857142857
0,0.7432715519825708
0,0.0
0,0.0
0,0.18042160737812912
0,0.11208827404479578
0,0.025
0,0.16854005167958658
0,0.017391304347826087
0,0.05105263157894737
0,0.0
0,0.03734347048300536
0,0.1825384562005925
1,0.15222084367245658
0,0.032692307692307694
0,0.0
0,0.017391304347826087
0,0.7173638280206245
0,0.07753100410026406
0,0.02
0,0.047497067448680354
0,0.004476171505754507
0,0.18822128606913296
0,0.02
1,0.25666666666666665
1,0.017391304347826087
0,0.05401013714967203
0,0.49948717948717947
0,0.07753100410026406
0,0.15334970407185353
0,0.11222222222222222
0,0.0
0,0.0
0,0.029010137149672034
